,Rsmiles,Psmiles
149,[O:1]=[C:2]1[C:3]([H:7])([H:8])[C@@:4]2([H:9])[O:5][C@@:6]12[H:10],[O-:1][C:2](=[C+:3][H:8])[C@@:6]1([H:10])[C:4]([H:7])([H:9])[O:5]1
150,[c:1]1([H:7])[n:2][n:3][c:4]([H:8])[n:5][n:6]1,[C:1](#[N:6])[H:7].[C:4](#[N:5])[H:8].[N:2]#[N:3]
151,[c:1]1([H:7])[n:2][n:3][c:4]([H:8])[n:5][n:6]1,[C:1](#[N+:2][N-:3][C-:4]([N+:5]#[N:6])[H:8])[H:7]
152,[C:1]([N:2]1[C:3]([H:8])([H:9])[C:4]1([H:10])[H:11])([H:5])([H:6])[H:7],[C:1]([N+:2]1([H:11])[C:3]([H:8])([H:9])[C-:4]1[H:10])([H:5])([H:6])[H:7]
153,[C:1]([N:2]1[C:3]([H:8])([H:9])[C:4]1([H:10])[H:11])([H:5])([H:6])[H:7],[C-:1]([N+:2]1=[C:3]([H:8])[C:4]1([H:10])[H:11])([H:6])[H:7].[H:5][H:9]
154,[C:1]([N:2]1[C:3]([H:8])([H:9])[C:4]1([H:10])[H:11])([H:5])([H:6])[H:7],[C:1]([N+:2]([C-:3]([H:8])[H:9])=[C:4]([H:10])[H:11])([H:5])([H:6])[H:7]
155,[C:1]([N:2](/[C:3](=[N:4]\[H:11])[C:5](=[O:6])[H:12])[H:10])([H:7])([H:8])[H:9],[C+:1]([N:2]([C:3]([N:4]([H:9])[H:11])=[C:5]([O-:6])[H:12])[H:10])([H:7])[H:8]
157,[C:1]([N:2](/[C:3](=[N:4]\[H:11])[C:5](=[O:6])[H:12])[H:10])([H:7])([H:8])[H:9],[C:1]([N:2]=[C:3]=[N:4][H:11])([H:7])([H:8])[H:9].[C:5](=[O:6])([H:10])[H:12]
159,[C:1]([N:2](/[C:3](=[N:4]\[H:11])[C:5](=[O:6])[H:12])[H:10])([H:7])([H:8])[H:9],[C:1]([H:7])([H:8])([H:9])[H:10].[N:2](=[C:3]=[N:4][H:11])[C:5](=[O:6])[H:12]
160,[C:1]([N:2](/[C:3](=[N:4]\[H:11])[C:5](=[O:6])[H:12])[H:10])([H:7])([H:8])[H:9],[C:1]([N:2]([H:10])[H:11])([H:7])([H:8])[H:9].[C:3](#[N:4])[C:5](=[O:6])[H:12]
161,[C:1]([N:2](/[C:3](=[N:4]\[H:11])[C:5](=[O:6])[H:12])[H:10])([H:7])([H:8])[H:9],[C-:5]#[O+:6].[C:1]([N:2]([C:3][N:4]([H:11])[H:12])[H:10])([H:7])([H:8])[H:9]
162,[C:1]([N:2](/[C:3](=[N:4]\[H:11])[C:5](=[O:6])[H:12])[H:10])([H:7])([H:8])[H:9],[C:1](=[N:2][H:10])([H:7])[H:8].[C:3](=[N:4][H:11])=[C:5]([O:6][H:9])[H:12]
163,[C:1]([N:2](/[C:3](=[N:4]\[H:11])[C:5](=[O:6])[H:12])[H:10])([H:7])([H:8])[H:9],[C:1]([N:2]([c:3]1[n:4]([H:11])[o:6][c:5]1[H:12])[H:10])([H:7])([H:8])[H:9]
165,[C:1]([O:2][C:3](=[O:4])[C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[O:2])([H:8])[H:9].[C:3](=[O:4])([C:5]([O:6][H:12])([H:10])[H:11])[H:7]
166,[C:1]([O:2][C:3](=[O:4])[C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O+:2]=[C-:3][O:4][C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9]
167,[C:1]([O:2][C:3](=[O:4])[C:5]([O:6][H:12])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C:3](=[O:4])[C:5](=[O:6])[H:11])([H:7])([H:8])[H:9].[H:10][H:12]
169,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3][C:4]([O+:6]=[C-:5][H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]
170,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3]/[C:4](=[C:5](/[O:6][H:13])[H:14])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]
171,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]1([H:8])([H:9])[C:2]([H:10])([H:11])[O:3][C:4]([H:12])([H:13])[C@@:5]1([O:6][H:7])[H:14]
172,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[O+:3][C:4](=[C:5]([O-:6])[H:14])[H:12])[H:11])([H:7])([H:8])[H:9].[H:10][H:13]
173,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([H:7])([H:8])([H:9])[H:13].[C:2](=[O+:3][C:4](=[C:5]([O-:6])[H:14])[H:12])([H:10])[H:11]
174,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C-:5]#[O+:6].[C:1]([C:2]([H:10])([H:11])[H:14])([H:7])([H:8])[H:9].[O:3]=[C:4]([H:12])[H:13]
175,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3][O:6][C:5](=[C:4]([H:12])[H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9]
176,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([O:3][C@:5]1([H:14])[C:4]([H:12])([H:13])[O:6]1)([H:10])[H:11])([H:7])([H:8])[H:9]
177,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[O:3])[H:11])([H:7])([H:8])[H:9].[C:4](=[C:5]([O:6][H:10])[H:14])([H:12])[H:13]
178,[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]([H:10])[H:11])([H:8])[H:9].[O:3]([C:4]([C:5](=[O:6])[H:14])([H:12])[H:13])[H:7]
180,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11],[C:1]1([H:6])([H:7])[O:2][C@:5]1([C:4](=[C:3]([H:8])[H:9])[H:10])[H:11]
181,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11],[C:1]([O:2][C:3]([C:4](=[C:5])[H:10])([H:8])[H:9])([H:6])([H:7])[H:11]
182,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11],[C:1]([O:2][H:8])(/[C:5](=[C:4](\[C:3][H:9])[H:10])[H:11])([H:6])[H:7]
183,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11],[C:1]1([H:6])([H:7])[O+:2]=[C-:3][C:4]([H:10])=[C:5]1[H:11].[H:8][H:9]
185,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11],[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])([H:11])[C:5]1
186,[C:1]1([H:6])([H:7])[O:2][C:3]([H:8])([H:9])[C:4]([H:10])=[C:5]1[H:11],[C:1]([C:5]#[C:4][H:10])([H:6])([H:7])[H:11].[O:2]=[C:3]([H:8])[H:9]
187,[C:1]([c:2]1[n:3][c:4]([H:10])[c:5]([H:11])[o:6]1)([H:7])([H:8])[H:9],[C:1]([c:2]1[n:3]([H:10])[c-:4][c:5]([H:11])[o+:6]1)([H:7])([H:8])[H:9]
189,[C:1]([c:2]1[n:3][c:4]([H:10])[c:5]([H:11])[o:6]1)([H:7])([H:8])[H:9],[C:1]([C:2]1=[N:3][C:4]([H:10])([H:11])[C-:5]=[O+:6]1)([H:7])([H:8])[H:9]
190,[C:1]([c:2]1[n:3][c:4]([H:10])[c:5]([H:11])[o:6]1)([H:7])([H:8])[H:9],[C:1](=[C:2]1[N:3]([H:7])[C:4]([H:10])=[C:5]([H:11])[O:6]1)([H:8])[H:9]
191,[C:1]([c:2]1[n:3][c:4]([H:10])[c:5]([H:11])[o:6]1)([H:7])([H:8])[H:9],[C:1]([C:2]([N:3]=[C:4]=[C:5]([H:10])[H:11])=[O:6])([H:7])([H:8])[H:9]
192,[C:1]([c:2]1[n:3][c:4]([H:10])[c:5]([H:11])[o:6]1)([H:7])([H:8])[H:9],[C:1](=[C:2]1[N:3]=[C:4]([H:10])[C:5]([H:7])([H:11])[O:6]1)([H:8])[H:9]
195,[C:1]([c:2]1[n:3][c:4]([H:10])[c:5]([H:11])[o:6]1)([H:7])([H:8])[H:9],[C:1](=[C:2]1[N-:3][C:4]([H:10])=[C:5]=[O+:6]1)([H:8])[H:9].[H:7][H:11]
197,[O:1]([C:2]([C@@:3]([O:4][H:11])([C:5]#[C:6][H:12])[H:10])([H:8])[H:9])[H:7],[O:1]([C:2]([C:3](=[C:5]=[C:6]([O:4][H:11])[H:12])[H:10])([H:8])[H:9])[H:7]
200,[O:1]([C:2]([C@@:3]([O:4][H:11])([C:5]#[C:6][H:12])[H:10])([H:8])[H:9])[H:7],[C:3]([O:4][H:11])(=[C:5]=[C:6]([H:7])[H:12])[H:10].[O:1]=[C:2]([H:8])[H:9]
201,[O:1]([C:2]([C@@:3]([O:4][H:11])([C:5]#[C:6][H:12])[H:10])([H:8])[H:9])[H:7],[O:1](/[C:6](=[C:5]1\[C:2]([H:8])([H:9])[C@:3]1([O:4][H:11])[H:10])[H:12])[H:7]
203,[O:1]([C:2]([C@@:3]([O:4][H:11])([C:5]#[C:6][H:12])[H:10])([H:8])[H:9])[H:7],[O:1]([C:2]([C@@:3]([O:4][H:11])([C:6](=[C:5])[H:12])[H:10])([H:8])[H:9])[H:7]
204,[O:1]([C:2]([C@@:3]([O:4][H:11])([C:5]#[C:6][H:12])[H:10])([H:8])[H:9])[H:7],[C:2]([C@@:3]([O:4][H:11])([C:5]#[C:6][H:12])[H:10])[H:8].[O:1]([H:7])[H:9]
205,[O:1]=[C:2]([C@@:3]1([H:7])[C:4]([H:8])([H:9])[O:5]1)[H:6],[O:1]([C:2][C@@:3]1([H:7])[C:4]([H:8])([H:9])[O:5]1)[H:6]
206,[O:1]=[C:2]([C@@:3]1([H:7])[C:4]([H:8])([H:9])[O:5]1)[H:6],[O:1]=[C:2]([C@@:3]([C:4][H:9])([O:5][H:8])[H:7])[H:6]
207,[O:1]=[C:2]([C@@:3]1([H:7])[C:4]([H:8])([H:9])[O:5]1)[H:6],[O+:1](=[C-:2][H:6])[C@@:3]1([H:7])[C:4]([H:8])([H:9])[O:5]1
208,[O:1]=[C:2]([C@@:3]1([H:7])[C:4]([H:8])([H:9])[O:5]1)[H:6],[O:1](/[C:2](=[C:3]1\[C:4]([H:8])([H:9])[O:5]1)[H:6])[H:7]
210,[O:1]=[C:2]([C@@:3]1([H:7])[C:4]([H:8])([H:9])[O:5]1)[H:6],[O-:1][C:2](=[C:3]([O+:5]=[C:4]([H:8])[H:9])[H:7])[H:6]
213,[O:1]([C:2]([C:3](=[O:4])[C:5]#[N:6])([H:8])[H:9])[H:7],[O:1]([C:2]([C:3](=[O:4])[N+:6]#[C-:5])([H:8])[H:9])[H:7]
214,[O:1]([C:2]([C:3](=[O:4])[C:5]#[N:6])([H:8])[H:9])[H:7],[O:1]=[C:2]([C@@:3]([O:4][H:7])([C:5]#[N:6])[H:9])[H:8]
216,[O:1]([C:2]([C:3](=[O:4])[C:5]#[N:6])([H:8])[H:9])[H:7],[O:1](/[C:2](=[C:3](\[O:4][H:7])[C:5]#[N:6])[H:8])[H:9]
217,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])=[C:6]1[H:16])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])([H:16])[C:6]1)([H:7])([H:8])[H:9]
222,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])=[C:6]1[H:16])([H:7])([H:8])[H:9],[C:1]1([H:7])([H:8])[C@@:2]2([H:10])[C:3]([H:11])([H:12])[C:4]([H:14])=[C:5]([H:15])[C@@:6]12[H:16].[H:9][H:13]
223,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])=[C:6]1[H:16])([H:7])([H:8])[H:9],[C:1]([C@@:2]([C:3]([C:4]([H:13])([H:14])[H:15])([H:11])[H:12])([C:6](=[C:5])[H:16])[H:10])([H:7])([H:8])[H:9]
225,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])=[C:6]1[H:16])([H:7])([H:8])[H:9],[C:1]([C:2]1=[C:6]([H:16])[C:5]([H:15])=[C:4]([H:13])[C:3]1([H:11])[H:12])([H:7])([H:8])[H:9].[H:10][H:14]
226,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])=[C:6]1[H:16])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C@:6]1([C:5](=[C:4]([H:13])[H:14])[H:15])[H:16])([H:7])([H:8])[H:9]
227,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])=[C:6]1[H:16])([H:7])([H:8])[H:9],[C-:2]1=[C:6]([H:16])[C+:5]([H:15])[C:4]([H:13])([H:14])[C:3]1([H:11])[H:12].[C:1]([H:7])([H:8])([H:9])[H:10]
229,[C:1]([C@@:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])=[C:6]1[H:16])([H:7])([H:8])[H:9],[C:1](/[C:2](=[C:6](/[C:5]1([H:15])[C:3]([H:11])([H:12])[C:4]1([H:13])[H:14])[H:16])[H:10])([H:7])([H:8])[H:9]
230,[C:1]([C:2]#[C:3][C:4]([C:5]#[N:6])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C-:2]=[C:3]([C+:4]([H:10])[H:11])[C:5]#[N:6])([H:7])([H:8])[H:9]
232,[C:1]([C:2]#[C:3][C:4]([C:5]#[N:6])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]=[C:3]=[C:4]([C:5]#[N:6])[H:11])([H:7])[H:9].[H:8][H:10]
233,[C:1]([C:2]#[C:3][C:4]([C:5]#[N:6])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]#[C:3][C:4](=[C:5]=[N:6][H:10])[H:11])([H:7])([H:8])[H:9]
234,[C:1]([C:2]#[C:3][C:4]([C:5]#[N:6])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[C:3])[C:4]([C:5]#[N:6])([H:10])[H:11])([H:7])([H:8])[H:9]
235,[c:1]1([H:7])[c:2]([H:8])[n:3][c:4]([H:9])[c:5]([H:10])[n:6]1,[C:1]1=[C:2]([H:8])[N:3]=[C:4]([H:9])[C:5]([H:7])([H:10])[N:6]=1
236,[c:1]1([H:7])[c:2]([H:8])[n:3][c:4]([H:9])[c:5]([H:10])[n:6]1,[C-:1]([C-:2]([N+:3]#[C:4][H:9])[H:8])([N+:6]#[C:5][H:10])[H:7]
237,[c:1]1([H:7])[c:2]([H:8])[n:3][c:4]([H:9])[c:5]([H:10])[n:6]1,[C:1]1([H:7])=[N+:6]=[C:5]=[C:4]([H:9])[N-:3][C:2]1([H:8])[H:10]
238,[c:1]1([H:7])[c:2]([H:8])[n:3][c:4]([H:9])[c:5]([H:10])[n:6]1,[C:1]1([H:7])=[C+:2][N:3]([H:8])[C:4]([H:9])=[C:5]([H:10])[N-:6]1
239,[c:1]1([H:7])[c:2]([H:8])[n:3][c:4]([H:9])[c:5]([H:10])[n:6]1,[C@:1]12([H:7])[C:2]([H:8])=[N:3][C@@:4]1([H:9])[C:5]([H:10])=[N:6]2
241,[c:1]1([H:7])[c:2]([H:8])[n:3][c:4]([H:9])[c:5]([H:10])[n:6]1,[C:1]1([H:7])=[N:6][C@@:5]2([H:10])[N:3]3[C@:2]1([H:8])[C@:4]32[H:9]
242,[c:1]1([H:7])[c:2]([H:8])[n:3][c:4]([H:9])[c:5]([H:10])[n:6]1,[c:1]1([H:7])[c:2]([H:8])[n:3]2[c:4]([H:9])[c:5]([H:10])[n:6]12
244,[C:1]([C:2]([C:3]([C:4]([C:5]#[N:6])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5][N:6]1[H:11])([H:7])([H:8])[H:9]
245,[C:1]([C:2]([C:3]([C:4]([C:5]#[N:6])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2](=[C:3]([H:12])[H:13])[H:10])([H:7])([H:8])[H:9].[C:4](=[C:5]=[N:6][H:11])([H:14])[H:15]
246,[C:1]([C:2]([C:3]([C:4]([C:5]#[N:6])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C@@:3]1([H:13])[C:4]([H:14])([H:15])/[C:5]1=[N:6]/[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]
248,[C:1]([C:2]([C:3]([C:4]([C:5]#[N:6])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([N:6]=[C:5]=[C:4]([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]
250,[C:1]([C:2]([C:3]([C:4]([C:5]#[N:6])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([C:4]([N+:6]#[C-:5])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]
251,[C:1]([C:2]([C:3]([C:4]([C:5]#[N:6])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])/[C:5]1=[N:6]/[H:11])([H:7])([H:8])[H:9]
252,[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]#[N:6])[H:12])([H:7])([H:8])[H:9],[C:1]([N+:2]1([H:10])[C-:3]([H:11])[C@:4]1([C:5]#[N:6])[H:12])([H:7])([H:8])[H:9]
255,[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]#[N:6])[H:12])([H:7])([H:8])[H:9],[C:1]([N+:2]([C-:3]([H:10])[H:11])=[C:4]([C:5]#[N:6])[H:12])([H:7])([H:8])[H:9]
256,[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]#[N:6])[H:12])([H:7])([H:8])[H:9],[C-:1]([N+:2]1=[C:4]([C:5]#[N:6])[C:3]1([H:10])[H:11])([H:7])[H:9].[H:8][H:12]
257,[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]#[N:6])[H:12])([H:7])([H:8])[H:9],[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([N+:6]#[C-:5])[H:12])([H:7])([H:8])[H:9]
258,[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]#[N:6])[H:12])([H:7])([H:8])[H:9],[C:1](/[N:6]=[C:5]1\[N:2]2[C:3]([H:10])([H:11])[C@:4]21[H:12])([H:7])([H:8])[H:9]
259,[C:1]([N:2]1[C:3]([H:10])([H:11])[C@:4]1([C:5]#[N:6])[H:12])([H:7])([H:8])[H:9],[C:1]([N+:2]1([C:5]#[N:6])[C:3]([H:10])([H:11])[C-:4]1[H:12])([H:7])([H:8])[H:9]
261,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C@:2]1([C:6]([O:5][H:12])([H:13])[H:14])[C:3]([H:10])([H:11])[C:4]1)([H:7])([H:8])[H:9]
262,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C:2][C:3]([C@@:4]1([H:12])[O:5][C:6]1([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9]
263,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C@:2]1([H:13])[C:3]([H:10])([H:11])[C@:4]1([O+:5]=[C-:6][H:14])[H:12])([H:7])([H:8])[H:9]
264,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3]([C:4](=[O:5])[H:12])([H:10])[H:11])=[C:6]([H:13])[H:14])([H:7])([H:8])[H:9]
265,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C@@:4]1([H:12])[C:3]([H:10])([H:11])[C:2][C:6]([H:13])([H:14])[O:5]1)([H:7])([H:8])[H:9]
266,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O+:5]=[C-:6]2)([H:7])([H:8])[H:9].[H:13][H:14]
269,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C:2]1([C:3]([H:10])([H:11])[H:13])[C-:4]([H:12])[O+:5]=[C:6]1[H:14])([H:7])([H:8])[H:9]
271,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9],[C:1](=[C:2]1[C:3]([H:10])([H:11])[C@@:4]2([H:12])[O:5][C@@:6]12[H:14])([H:7])[H:8].[H:9][H:13]
272,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C:2]1([C:3]([H:10])([H:11])[H:12])[C-:4]=[O+:5][C:6]1([H:13])[H:14])([H:7])([H:8])[H:9]
273,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C:2]1([C:6]([O:5][H:11])([H:13])[H:14])[C:3]([H:10])=[C:4]1[H:12])([H:7])([H:8])[H:9]
274,[C:1]([C@:2]12[C:3]([H:10])([H:11])[C@@:4]1([H:12])[O:5][C:6]2([H:13])[H:14])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:12])[C:3]([H:10])([H:11])[C-:4]=[O+:5][C:6]1([H:13])[H:14])([H:7])([H:8])[H:9]
275,[C:1]([C:2]([C:3]([H:10])([H:11])[H:12])([C:4]#[C:5][H:13])[H:9])([H:6])([H:7])[H:8],[C:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[C:5]([H:12])([H:13])[C:4]1)([H:6])([H:7])[H:8]
277,[C:1]([C:2]([C:3]([H:10])([H:11])[H:12])([C:4]#[C:5][H:13])[H:9])([H:6])([H:7])[H:8],[C:1](/[C:2](=[C:4](/[C:3]([H:10])([H:11])[H:12])[C:5][H:13])[H:9])([H:6])([H:7])[H:8]
278,[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])=[C:6]1[H:14])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1)([H:7])([H:8])[H:9]
279,[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])=[C:6]1[H:14])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5][C:6]1([H:13])[H:14])([H:7])([H:8])[H:9]
282,[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])=[C:6]1[H:14])([H:7])([H:8])[H:9],[C:1]([C:2](=[O:3])[H:10])([H:7])([H:8])[H:9].[C:4]([C:5]#[C:6][H:14])([H:11])([H:12])[H:13]
283,[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])=[C:6]1[H:14])([H:7])([H:8])[H:9],[C:1]([C:2](=[O:3])[C:6]([C:5](=[C:4]([H:11])[H:12])[H:13])([H:10])[H:14])([H:7])([H:8])[H:9]
284,[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])=[C:6]1[H:14])([H:7])([H:8])[H:9],[C:1]([C:2]([C:6]#[C:5][H:13])([H:10])[H:14])([H:7])([H:8])[H:9].[O:3]=[C:4]([H:11])[H:12]
285,[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])=[C:6]1[H:14])([H:7])([H:8])[H:9],[C:1]([C@@:2]([O:3][C:4]([H:11])([H:12])[H:13])([C:6](=[C:5])[H:14])[H:10])([H:7])([H:8])[H:9]
286,[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])=[C:6]1[H:14])([H:7])([H:8])[H:9],[C-:2]1=[O+:3][C:4]([H:11])([H:12])[C:5]([H:13])=[C:6]1[H:14].[C:1]([H:7])([H:8])([H:9])[H:10]
287,[C:1]([C@@:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])=[C:6]1[H:14])([H:7])([H:8])[H:9],[C:1](=[C:2](/[C:6](=[C:5](\[C:4]([O:3][H:7])([H:11])[H:12])[H:13])[H:14])[H:10])([H:8])[H:9]
288,[C:1]([C:2]1([C:3]([H:9])([H:10])[H:11])[C:4]([H:12])([H:13])[O:5]1)([H:6])([H:7])[H:8],[C:1]([C:2][C:4]([O:5][C:3]([H:9])([H:10])[H:11])([H:12])[H:13])([H:6])([H:7])[H:8]
289,[C:1]([C:2]1([C:3]([H:9])([H:10])[H:11])[C:4]([H:12])([H:13])[O:5]1)([H:6])([H:7])[H:8],[C:1]([C:2]1([C:3]([H:9])([H:10])[H:11])[C-:4]=[O+:5]1)([H:6])([H:7])[H:8].[H:12][H:13]
290,[C:1]([C:2]1([C:3]([H:9])([H:10])[H:11])[C:4]([H:12])([H:13])[O:5]1)([H:6])([H:7])[H:8],[C:1]([C:2]([C:4]([C:3]([H:9])([H:10])[H:11])([H:12])[H:13])=[O:5])([H:6])([H:7])[H:8]
